item_id,user_no,sales_type,보증금액,월세금액,전용면적_m2,공급면적_m2,local1,local2,local3,random_location,floor,updated_at,approve_date,residence_type,approve_year,random_lat,random_long,is_underground
37898495,442100,월세,300,30.0,26.45,26.45,경기도,시흥시,정왕동,"37.35378690847904,126.74746962735726",3,2023-08-30 10:13:27,2014.08.04,단독주택,2014,37.35378690847904,126.74746962735726,0
37804263,5235991,월세,200,25.0,23.14,23.14,경기도,시흥시,정왕동,"37.3528922891309,126.74432319643063",3,2023-08-21 16:29:19,2012/1/12,제2종근생,2012,37.3528922891309,126.74432319643063,0
37901830,457146,월세,700,30.0,26.45,26.45,경기도,시흥시,정왕동,"37.353535188917284,126.74720852514584",2,2023-09-09 10:50:55,20150424,단독주택,2015,37.353535188917284,126.74720852514584,0
38038576,10884184,월세,200,30.0,29.75,29.75,경기도,시흥시,정왕동,"37.34466053280706,126.7418010773411",4,2023-09-11 12:11:41,2000. 04. 26,단독주택,2000,37.34466053280706,126.7418010773411,0
38013445,2676506,월세,200,26.0,23.14,23.14,경기도,시흥시,정왕동,"37.35350374682119,126.74133634108358",5,2023-09-08 13:01:23,2012.5.22,공동주택,2012,37.35350374682119,126.74133634108358,0
38017126,14717871,월세,300,28.0,29.75,29.75,경기도,시흥시,정왕동,"37.34885446808028,126.74357940051881",1,2023-09-08 16:09:04,20011211,단독주택,2001,37.34885446808028,126.74357940051881,0
38040518,5435754,월세,300,40.0,36.36,36.36,경기도,시흥시,정왕동,"37.350634891561015,126.74265234790296",2,2023-09-11 13:31:57,2000.08.07,단독주택,2000,37.350634891561015,126.74265234790296,0
38017191,19186853,월세,200,35.0,26.45,26.45,경기도,시흥시,정왕동,"37.35197097172794,126.74634462867081",4,2023-09-08 16:11:53,20150129,단독주택,2015,37.35197097172794,126.74634462867081,0
37905593,5435754,월세,300,24.0,29.75,29.75,경기도,시흥시,정왕동,"37.34771123770773,126.74427079706656",1,2023-08-30 15:55:44,2002.02.18,단독주택,2002,37.34771123770773,126.74427079706656,0
38041373,2676506,월세,200,30.0,26.45,26.45,경기도,시흥시,정왕동,"37.350333605502776,126.74268122199193",2,2023-09-11 14:13:08,2001.12.24,단독주택,2001,37.350333605502776,126.74268122199193,0
37733938,5435754,월세,2000,15.0,29.75,29.75,경기도,시흥시,정왕동,"37.353704798392315,126.74735040536905",5,2023-08-15 12:24:24,2014.09.02,단독주택,2014,37.353704798392315,126.74735040536905,0
38004669,194432,월세,300,36.0,29.75,29.75,경기도,시흥시,정왕동,"37.352929840906114,126.743397782912",5,2023-09-07 16:23:30,20110413,단독주택,2011,37.352929840906114,126.743397782912,0
38044338,10884184,월세,200,29.0,28.1,28.1,경기도,시흥시,정왕동,"37.3454484542132,126.7419191215265",3,2023-09-11 16:13:46,2001. 12. 19,단독주택,2001,37.3454484542132,126.7419191215265,0
38023638,14558955,월세,80,35.0,26.45,26.45,경기도,시흥시,정왕동,"37.35177795294652,126.7376107368389",5,2023-09-09 11:05:04,20060714,단독주택,2006,37.35177795294652,126.7376107368389,0
38040646,5435754,월세,60,23.0,26.45,26.45,경기도,시흥시,정왕동,"37.353419268475136,126.74705753188516",1,2023-09-11 13:36:55,2007.12.31,단독주택,2007,37.353419268475136,126.74705753188516,0
38009656,442100,월세,300,30.0,29.75,29.75,경기도,시흥시,정왕동,"37.352026634011736,126.7376064988622",3,2023-09-08 10:17:04,2003.08.21,단독주택,2003,37.352026634011736,126.7376064988622,0
37971616,404378,월세,300,35.0,29.75,29.75,경기도,시흥시,정왕동,"37.35354187428292,126.74416223934004",3,2023-09-05 11:42:35,2012.04.09,단독주택,2012,37.35354187428292,126.74416223934004,0
37961600,3953986,월세,300,26.0,23.14,23.14,경기도,시흥시,정왕동,"37.354002546768584,126.74719220479868",2,2023-09-04 14:54:34,2015.04.24,단독주택,2015,37.354002546768584,126.74719220479868,0
38017525,3953986,월세,300,30.0,26.45,26.45,경기도,시흥시,정왕동,"37.353345070621465,126.74695630118448",3,2023-09-08 16:39:13,2004.12.28,단독주택,2004,37.353345070621465,126.74695630118448,0
38043795,9004560,월세,100,30.0,28.1,28.1,경기도,시흥시,정왕동,"37.345619453940586,126.74085979620088",1,2023-09-11 19:50:13,2001.04.24,단독주택,2001,37.345619453940586,126.74085979620088,0
37723186,194432,월세,400,37.0,29.75,29.75,경기도,시흥시,정왕동,"37.35365267164041,126.73862848231094",2,2023-08-14 14:12:51,2014-12-03,단독주택,2014,37.35365267164041,126.73862848231094,0
38043434,10884184,월세,100,30.0,26.45,26.45,경기도,시흥시,정왕동,"37.34512759216009,126.74087793158947",1,2023-09-11 15:40:49,2001. 04. 24,단독주택,2001,37.34512759216009,126.74087793158947,0
37906837,1328580,월세,100,40.0,36.36,36.36,경기도,시흥시,정왕동,"37.35225887677758,126.73705927569138",5,2023-08-30 17:02:04,20071106,제2종근린생활시설,2007,37.35225887677758,126.73705927569138,0
37975044,1328580,월세,200,35.0,29.75,29.75,경기도,시흥시,정왕동,"37.34524564642083,126.74221712022077",2,2023-09-05 14:23:11,2000.12.18,단독주택,2000,37.34524564642083,126.74221712022077,0
37993047,5980986,월세,1000,27.0,27.8,27.8,경기도,시흥시,정왕동,"37.352337306033384,126.74453281552377",2,2023-09-06 17:43:19,2014.06.03,단독주택,2014,37.352337306033384,126.74453281552377,0
37993969,14558955,월세,300,30.0,29.75,29.75,경기도,시흥시,정왕동,"37.35327486927688,126.74056000579226",3,2023-09-06 18:28:56,20070704,단독주택,2007,37.35327486927688,126.74056000579226,0
37861669,1328580,월세,2000,25.0,34.0,34.0,경기도,시흥시,정왕동,"37.353974512892044,126.74380365046476",4,2023-08-26 12:53:48,20050620,단독주택,2005,37.353974512892044,126.74380365046476,0
37987094,14558955,월세,300,33.0,26.45,26.45,경기도,시흥시,정왕동,"37.351939421699655,126.73713424281782",4,2023-09-06 13:03:54,20050819,단독주택,2005,37.351939421699655,126.73713424281782,0
38018469,404378,전세,4500,,26.45,26.45,경기도,시흥시,정왕동,"37.35355253956088,126.73928288150451",4,2023-09-08 17:12:48,20080430,단독주택,2008,37.35355253956088,126.73928288150451,0
38017086,303647,월세,300,30.0,29.75,29.75,경기도,시흥시,정왕동,"37.349489754464926,126.74560650944198",4,2023-09-08 16:10:37,2016.09.23,단독주택,2016,37.349489754464926,126.74560650944198,0
38038970,16880728,월세,200,22.0,26.45,26.45,경기도,시흥시,정왕동,"37.34538356377354,126.74172795143058",2,2023-09-11 14:29:13,20010831,단독주택,2001,37.34538356377354,126.74172795143058,0
38011450,16880728,월세,200,27.0,27.0,27.0,경기도,시흥시,정왕동,"37.34695961482274,126.74260643599911",1,2023-09-08 11:28:23,20010418,단독주택,2001,37.34695961482274,126.74260643599911,0
38038048,10884184,월세,200,27.0,23.14,23.14,경기도,시흥시,정왕동,"37.344766023047384,126.74224771872191",2,2023-09-11 11:53:07,2001. 08. 11,단독주택,2001,37.344766023047384,126.74224771872191,0
38006553,442100,월세,200,30.0,26.45,26.45,경기도,시흥시,정왕동,"37.352353326421095,126.74657084440713",4,2023-09-08 10:12:11,2012.09.11,단독주택,2012,37.352353326421095,126.74657084440713,0
38017740,3953986,월세,300,40.0,29.75,29.75,경기도,시흥시,정왕동,"37.35235472666663,126.74378526974797",4,2023-09-08 16:37:32,2016.06.14,단독주택,2016,37.35235472666663,126.74378526974797,0
38017626,3953986,월세,200,26.0,23.14,23.14,경기도,시흥시,정왕동,"37.35401503288987,126.74136621138376",5,2023-09-08 16:33:02,2012.05.22,단독주택,2012,37.35401503288987,126.74136621138376,0
38017153,303647,월세,300,29.0,29.75,29.75,경기도,시흥시,정왕동,"37.35335600868986,126.74699598295388",3,2023-09-08 16:10:26,20041228,단독주택,2004,37.35335600868986,126.74699598295388,0
